Date,Open,High,Low,Close,Adj Close,Volume
2020-05-15,2.710000,2.840000,2.610000,2.640000,2.640000,7272600
2020-05-18,3.030000,3.300000,2.870000,3.170000,3.170000,23110000
2020-05-19,3.380000,3.400000,2.900000,2.960000,2.960000,19827500
2020-05-20,3.060000,3.190000,2.880000,3.010000,3.010000,21884400
2020-05-21,3.000000,3.140000,2.950000,3.070000,3.070000,16749600
2020-05-22,3.030000,3.040000,2.800000,2.840000,2.840000,25626800
2020-05-26,0.410000,1.470000,0.400000,0.555000,0.555000,143585000
2020-05-27,0.910000,1.490000,0.800000,1.310000,1.310000,345869800
2020-05-28,1.160000,1.220000,1.000000,1.020000,1.020000,119569500
2020-05-29,1.070000,1.130000,1.000000,1.000000,1.000000,40261000
2020-06-01,1.010000,1.050000,0.835000,0.890000,0.890000,60753400
2020-06-02,0.910000,0.930000,0.820000,0.853000,0.853000,41301400
2020-06-03,0.857000,0.860000,0.780000,0.816000,0.816000,38080300
2020-06-04,0.800000,1.870000,0.800000,1.500000,1.500000,267963600
2020-06-05,3.480000,3.700000,2.310000,2.570000,2.570000,342187100
2020-06-08,3.370000,6.250000,3.090000,5.530000,5.530000,533891800
2020-06-09,4.780000,5.800000,3.400000,4.180000,4.180000,299658900
2020-06-10,3.540000,3.850000,2.500000,2.520000,2.520000,223181000
2020-06-11,1.870000,2.470000,1.710000,2.060000,2.060000,125327200
2020-06-12,3.210000,3.470000,2.560000,2.830000,2.830000,283984500
2020-06-15,2.190000,2.720000,1.730000,1.880000,1.880000,176826500
2020-06-16,2.130000,2.280000,1.750000,1.950000,1.950000,93974200
2020-06-17,1.850000,2.350000,1.760000,2.000000,2.000000,127195600
2020-06-18,1.930000,1.970000,1.800000,1.800000,1.800000,38443400
2020-06-19,1.850000,1.860000,1.660000,1.730000,1.730000,34908400
2020-06-22,1.640000,1.660000,1.320000,1.400000,1.400000,43689300
2020-06-23,1.250000,1.290000,1.110000,1.240000,1.240000,43315000
2020-06-24,1.560000,2.490000,1.380000,1.610000,1.610000,275883900
2020-06-25,1.950000,1.980000,1.560000,1.690000,1.690000,82578800
2020-06-26,1.560000,1.610000,1.360000,1.490000,1.490000,39250900
2020-06-29,1.550000,1.580000,1.380000,1.450000,1.450000,20256300
2020-06-30,1.460000,1.480000,1.390000,1.410000,1.410000,13152100
2020-07-01,1.440000,1.560000,1.410000,1.470000,1.470000,20735600
2020-07-02,1.550000,1.580000,1.430000,1.500000,1.500000,15620800
2020-07-06,1.560000,1.580000,1.410000,1.460000,1.460000,14800900
2020-07-07,1.410000,1.420000,1.350000,1.370000,1.370000,11710100
2020-07-08,1.380000,1.480000,1.300000,1.480000,1.480000,18819300
2020-07-09,1.450000,1.590000,1.390000,1.450000,1.450000,14804500
2020-07-10,1.440000,1.490000,1.410000,1.450000,1.450000,7079000
2020-07-13,1.490000,1.490000,1.400000,1.400000,1.400000,7672100
2020-07-14,1.400000,1.450000,1.320000,1.430000,1.430000,10175200
2020-07-15,1.470000,1.470000,1.400000,1.450000,1.450000,7528300
2020-07-16,1.410000,1.450000,1.400000,1.440000,1.440000,5797800
2020-07-17,1.410000,1.550000,1.400000,1.480000,1.480000,11662700
2020-07-20,1.470000,1.530000,1.410000,1.490000,1.490000,12763000
2020-07-21,1.470000,1.490000,1.440000,1.460000,1.460000,7220600
2020-07-22,1.470000,1.930000,1.460000,1.740000,1.740000,62104000
2020-07-23,1.820000,1.820000,1.600000,1.670000,1.670000,15237500
2020-07-24,1.650000,1.670000,1.560000,1.580000,1.580000,9650100
2020-07-27,1.630000,1.680000,1.500000,1.540000,1.540000,11575200
2020-07-28,1.510000,1.550000,1.480000,1.490000,1.490000,7096100
2020-07-29,1.500000,1.580000,1.500000,1.530000,1.530000,8414600
2020-07-30,1.510000,1.520000,1.460000,1.480000,1.480000,7607400
2020-07-31,1.500000,1.510000,1.450000,1.450000,1.450000,6498100
2020-08-03,1.450000,1.470000,1.340000,1.400000,1.400000,14272300
2020-08-04,1.390000,1.530000,1.370000,1.470000,1.470000,12309900
2020-08-05,1.500000,1.650000,1.440000,1.590000,1.590000,16017800
2020-08-06,1.550000,1.620000,1.470000,1.550000,1.550000,9523400
2020-08-07,1.540000,1.550000,1.450000,1.510000,1.510000,9197900
2020-08-10,1.520000,1.740000,1.510000,1.690000,1.690000,26167300
2020-08-11,1.880000,1.890000,1.520000,1.570000,1.570000,33551600
2020-08-12,1.640000,1.660000,1.580000,1.590000,1.590000,8988200
