Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,97.750000,98.870003,95.559998,98.800003,98.800003,2405300
2020-03-03,98.470001,100.400002,94.459999,95.309998,95.309998,1693800
2020-03-04,96.550003,96.940002,93.430000,95.059998,95.059998,1789200
2020-03-05,94.410004,94.410004,87.379997,87.949997,87.949997,2700400
2020-03-06,84.470001,90.510002,83.790001,88.150002,88.150002,2449200
2020-03-09,82.070000,82.629997,77.230003,77.430000,77.430000,2492100
2020-03-10,80.860001,82.690002,76.360001,82.599998,82.599998,2301300
2020-03-11,79.050003,79.290001,69.699997,70.209999,70.209999,3773100
2020-03-12,62.970001,67.349998,57.270000,59.169998,59.169998,4078700
2020-03-13,63.959999,65.400002,59.290001,65.320000,65.320000,4062300
2020-03-16,58.240002,58.360001,46.169998,49.209999,49.209999,4490200
2020-03-17,49.900002,50.160000,35.939999,41.930000,41.930000,9908500
2020-03-18,37.169998,39.070000,26.150000,34.160000,34.160000,8833600
2020-03-19,33.730000,46.540001,30.500000,42.419998,42.419998,10989700
2020-03-20,45.500000,45.820000,37.060001,39.000000,39.000000,8879200
2020-03-23,39.880001,42.240002,37.150002,41.029999,41.029999,7799000
2020-03-24,45.130001,55.200001,45.000000,53.889999,53.889999,8707600
2020-03-25,56.660000,67.720001,54.000000,58.450001,58.450001,7946600
2020-03-26,58.480000,62.439999,56.299999,60.560001,60.560001,4744200
2020-03-27,56.570000,57.709999,52.500000,54.660000,54.660000,6019800
2020-03-30,53.040001,57.840000,51.020000,56.849998,56.849998,4062600
2020-03-31,56.900002,59.000000,53.110001,54.459999,54.459999,6167900
2020-04-01,50.299999,51.150002,45.000000,46.020000,46.020000,6602900
2020-04-02,46.279999,49.650002,43.110001,44.310001,44.310001,4708200
2020-04-03,44.240002,46.389999,43.180000,45.480000,45.480000,3640600
2020-04-06,49.200001,55.880001,49.000000,52.400002,52.400002,4857900
2020-04-07,57.639999,63.340000,56.599998,58.959999,58.959999,6523900
2020-04-08,62.160000,65.349998,59.380001,63.570000,63.570000,4056600
2020-04-09,67.970001,69.169998,62.130001,64.339996,64.339996,4873200
2020-04-13,65.000000,65.190002,59.799999,60.889999,60.889999,2192100
2020-04-14,63.369999,64.699997,60.720001,61.150002,61.150002,3110800
2020-04-15,57.860001,59.669998,57.070000,58.790001,58.790001,3735800
2020-04-16,58.689999,59.990002,56.509998,57.980000,57.980000,2995500
2020-04-17,63.779999,65.430000,60.340000,63.349998,63.349998,4037500
2020-04-20,61.340000,64.550003,61.009998,61.790001,61.790001,2397700
2020-04-21,62.599998,63.740002,61.320000,63.320000,63.320000,7066000
2020-04-22,64.980003,69.459999,64.970001,68.300003,68.300003,6673500
2020-04-23,69.480003,69.500000,66.300003,66.870003,66.870003,4055100
2020-04-24,67.690002,69.300003,65.750000,68.820000,68.820000,3508600
2020-04-27,70.000000,72.610001,68.690002,72.400002,72.400002,3282400
2020-04-28,76.410004,77.110001,71.220001,74.800003,74.800003,4122700
2020-04-29,78.120003,81.180000,76.970001,78.209999,78.209999,3908800
2020-04-30,76.940002,77.540001,72.790001,73.790001,73.790001,3299100
2020-05-01,70.400002,72.309998,68.080002,69.849998,69.849998,3467700
2020-05-04,67.139999,70.699997,66.019997,70.620003,70.620003,2043000
2020-05-05,72.269997,72.629997,68.599998,68.989998,68.989998,2524200
2020-05-06,69.680000,71.230003,68.199997,68.209999,68.209999,2553300
2020-05-07,69.239998,72.099998,68.760002,70.529999,70.529999,2304500
2020-05-08,72.019997,74.879997,71.750000,74.720001,74.720001,2996300
2020-05-11,73.290001,75.129997,72.489998,73.930000,73.930000,2728600
2020-05-12,74.559998,75.129997,68.870003,70.320000,70.320000,3604100
2020-05-13,69.570000,69.650002,63.419998,65.879997,65.879997,3964800
2020-05-14,63.000000,67.230003,61.209999,66.660004,66.660004,3676700
2020-05-15,66.000000,70.110001,65.349998,69.610001,69.610001,2528900
2020-05-18,74.540001,76.559998,74.349998,75.449997,75.449997,2982900
2020-05-19,75.000000,78.000000,72.620003,75.820000,75.820000,3251300
2020-05-20,78.000000,78.930000,76.349998,78.320000,78.320000,3942500
2020-05-21,78.010002,78.239998,75.580002,77.220001,77.220001,2855400
2020-05-22,77.690002,77.980003,75.139999,75.629997,75.629997,2551900
2020-05-26,79.709999,80.790001,78.010002,78.470001,78.470001,3052800
2020-05-27,81.449997,81.699997,78.269997,81.559998,81.559998,3074000
2020-05-28,82.400002,82.400002,78.750000,79.500000,79.500000,2835400
2020-05-29,78.070000,79.470001,75.870003,76.860001,76.860001,4405600
2020-06-01,77.000000,79.349998,76.860001,78.309998,78.309998,2337100
2020-06-02,78.949997,79.559998,77.139999,78.120003,78.120003,1996100
2020-06-03,79.269997,86.510002,79.019997,85.930000,85.930000,4058200
2020-06-04,85.349998,88.220001,83.820000,86.040001,86.040001,3023900
2020-06-05,91.870003,92.070000,84.959999,85.589996,85.589996,3542100
2020-06-08,88.820000,88.820000,83.449997,84.739998,84.739998,3906100
2020-06-09,82.800003,82.800003,79.599998,80.889999,80.889999,3284600
2020-06-10,80.779999,80.940002,76.720001,77.769997,77.769997,2890600
2020-06-11,72.000000,75.370003,70.779999,72.930000,72.930000,4509700
2020-06-12,76.239998,76.660004,71.919998,75.940002,75.940002,3046800
2020-06-15,72.800003,77.870003,72.209999,76.500000,76.500000,2501300
2020-06-16,80.410004,81.459999,76.309998,76.709999,76.709999,3040900
2020-06-17,77.209999,77.209999,73.860001,74.190002,74.190002,2495800
2020-06-18,73.000000,75.510002,72.059998,74.129997,74.129997,2295700
2020-06-19,75.510002,75.690002,70.059998,70.269997,70.269997,6749900
2020-06-22,69.790001,71.419998,68.680000,71.349998,71.349998,3835600
2020-06-23,73.000000,75.440002,72.389999,75.349998,75.349998,3107600
2020-06-24,72.989998,73.830002,68.910004,70.809998,70.809998,4127400
2020-06-25,74.339996,76.430000,72.269997,74.589996,74.589996,6345800
2020-06-26,74.580002,74.889999,70.330002,72.949997,72.949997,7299600
