Date,Open,High,Low,Close,Adj Close,Volume
2020-04-24,139.250000,140.199997,136.619995,137.839996,137.839996,1142300
2020-04-27,140.100006,141.470001,139.009995,140.250000,140.250000,1135500
2020-04-28,141.500000,143.740005,139.199997,139.779999,139.779999,1516200
2020-04-29,153.000000,163.940002,152.419998,155.779999,155.779999,5744100
2020-04-30,148.940002,153.899994,146.000000,151.570007,151.570007,2118500
2020-05-01,144.500000,146.889999,143.929993,144.839996,144.839996,2047300
2020-05-04,144.070007,148.000000,143.009995,145.309998,145.309998,1224100
2020-05-05,147.360001,148.449997,144.029999,145.020004,145.020004,1231000
2020-05-06,146.809998,149.966003,146.050003,148.479996,148.479996,1280700
2020-05-07,150.000000,151.669998,147.139999,148.039993,148.039993,1421700
2020-05-08,149.789993,153.270004,149.070007,152.149994,152.149994,912400
2020-05-11,152.850006,159.020004,151.600006,156.020004,156.020004,1294500
2020-05-12,157.440002,158.365005,153.570007,153.940002,153.940002,1099300
2020-05-13,154.630005,154.869995,146.679993,148.979996,148.979996,974900
2020-05-14,148.000000,152.199997,146.940002,152.070007,152.070007,895200
2020-05-15,150.550003,159.000000,150.160004,158.830002,158.830002,1511500
2020-05-18,160.000000,163.880005,158.720001,161.429993,161.429993,1306500
2020-05-19,161.940002,179.690002,161.570007,175.029999,175.029999,4119400
2020-05-20,174.990005,190.479996,174.009995,189.800003,189.800003,4818500
2020-05-21,188.809998,196.750000,186.910004,192.740005,192.740005,4318700
2020-05-22,192.000000,194.570007,187.000000,190.169998,190.169998,2156300
2020-05-26,192.000000,192.970001,183.759995,191.000000,191.000000,2482400
2020-05-27,189.300003,190.000000,180.130005,185.949997,185.949997,2326500
2020-05-28,183.210007,185.899994,175.729996,177.220001,177.220001,1858400
2020-05-29,179.119995,181.779999,178.070007,180.929993,180.929993,1158900
2020-06-01,181.500000,185.000000,177.449997,182.710007,182.710007,1309600
2020-06-02,183.000000,189.770004,182.899994,189.360001,189.360001,1552400
2020-06-03,189.360001,191.619995,183.509995,184.630005,184.630005,1522000
2020-06-04,184.229996,188.220001,180.300003,181.839996,181.839996,1200100
2020-06-05,179.000000,184.720001,177.505005,184.279999,184.279999,1157700
2020-06-08,183.500000,187.460007,180.500000,187.300003,187.300003,1202100
2020-06-09,187.789993,194.589996,186.119995,191.309998,191.309998,1582800
2020-06-10,192.850006,197.276993,187.100006,189.399994,189.399994,2112100
2020-06-11,184.500000,186.919998,177.210007,178.679993,178.679993,1728800
2020-06-12,183.860001,185.539993,177.809998,180.070007,180.070007,907600
2020-06-15,178.229996,188.809998,177.270004,187.880005,187.880005,1396100
2020-06-16,190.419998,190.919998,183.160004,185.479996,185.479996,1061100
2020-06-17,187.000000,199.990005,186.350006,199.830002,199.830002,3134600
2020-06-18,209.789993,229.539993,206.539993,225.279999,225.279999,12353200
